TIMESTAMP,TIEMPO,TEMPERATURA RIO LA PAZ,TEMPERATURA2,HUMEDAD RIO LA PAZ,HUMEDAD2,PLUVIOMETRO RIO LA PAZ,PLUVIOMETRO2
2024-01-11 14:35,,25,25,53,61,23,62
2024-01-11 14:34,,28,28,65,59,22,50
2024-01-11 14:33,,20,21,54,65,20,58
2024-01-11 14:32,,27,22,43,69,28,62
2024-01-11 14:31,,24,20,61,47,22,58
2024-01-11 14:30,,24,21,52,52,20,62
2024-01-11 14:29,,28,21,71,77,22,73
2024-01-11 14:28,,23,29,49,49,27,62
2024-01-11 14:27,,28,28,51,77,30,74
2024-01-11 14:26,,23,28,52,58,23,44
2024-01-11 14:25,,27,23,51,46,21,47
2024-01-11 14:24,,27,20,50,59,27,77
2024-01-11 14:23,,29,24,49,59,23,62
2024-01-11 14:22,,28,20,40,63,29,43
2024-01-11 14:21,,24,26,66,58,25,74
2024-01-11 14:20,,30,27,52,73,22,73
2024-01-11 14:19,,23,27,62,61,24,44
2024-01-11 14:18,,22,24,79,50,27,44
2024-01-11 14:17,,25,21,44,58,29,80
2024-01-11 14:16,,25,28,62,75,21,73
2024-01-11 14:15,,22,27,80,67,27,75
2024-01-11 14:14,,21,23,49,67,24,62
2024-01-11 14:13,,29,29,64,63,28,51
2024-01-11 14:12,,24,27,42,42,30,78
2024-01-11 14:11,,27,22,66,75,25,40
2024-01-11 14:10,,23,21,55,58,29,76
2024-01-11 14:09,,29,22,47,73,27,42
2024-01-11 14:08,,24,27,74,68,21,44
2024-01-11 14:07,,30,23,77,66,29,76
2024-01-11 14:06,,26,22,72,74,27,43
2024-01-11 14:05,,28,23,74,74,30,68
2024-01-11 13:52,,23,25,47,75,23,60
2024-01-11 13:51,,21,22,79,67,20,41
2024-01-11 13:50,,24,29,64,74,24,43
2024-01-11 13:49,,20,29,70,55,22,73
2024-01-11 13:48,,20,20,69,53,26,76
2024-01-11 13:47,,23,21,60,73,24,42
2024-01-11 13:46,,30,20,41,53,23,42
2024-01-11 13:45,,20,27,63,67,22,42
2024-01-11 13:44,,30,24,60,67,27,41
2024-01-11 13:43,,25,24,56,77,23,64
2024-01-11 13:42,,22,22,54,57,28,61
2024-01-11 13:41,,26,29,52,63,25,41
2024-01-11 13:40,,22,21,78,74,25,76
2024-01-11 13:39,,23,23,54,51,23,49
2024-01-11 13:38,,20,27,64,52,25,67
2024-01-11 13:37,,29,25,51,74,26,73
2024-01-11 13:36,,29,28,69,68,25,68
2024-01-11 13:35,,26,28,49,63,28,48
2024-01-11 13:34,,29,27,67,59,27,79
2024-01-11 13:33,,23,28,53,47,24,51
2024-01-11 13:32,,23,22,79,48,21,52
2024-01-11 13:30,,30,24,50,57,25,79
2024-01-11 13:21,,22,27,61,45,29,59
